vehicle_model,battery_capacity_kwh,charging_station_id,charging_station_location,energy_consumed_kwh,charging_duration_hours,charging_rate_kw,time_of_day,day_of_week,state_of_charge_start_,state_of_charge_end_,distance_driven_since_last_charge_km,temperature_c,charger_type,user_type,station_name,operator,station_key,station_name_loc,address,operator_loc,charging_types,payment_options,amenities,latitude,longitude,city,state
TATA Nexon,85.0,Station_56,"Dombivli East Railway Parking, Thane",43.44537898,,26.50712322,Morning,Friday,55.70562012,52.80830823,38.19901104,19.86952895,Level 1,Casual Driver,Tata Power - Dombivli,Tata Power,tata power dombivli,Tata Power - Dombivli,"Dombivli East Railway Parking, Thane",Tata Power,AC 11kW,App,RTO Parking,19.2188,73.0935,Mumbai,Maharashtra
TATA Curvv,63.09631665,Station_62,"MGL Terminal, opposite Anik Depot, Wadala, Mumbai, Maharashtra 400022",47.7140959,,26.50712322,Night,Wednesday,49.53760262,57.93745966,214.4674794,34.27808119,DC Fast Charger,Casual Driver,"Mahanagar Gas Limited, Wadala",,mahanagar gas limited wadala,"Mahanagar Gas Limited, Wadala","MGL Terminal, opposite Anik Depot, Wadala, Mumbai, Maharashtra 400022",,,,,19.0472567,72.8783829,Mumbai,Maharashtra
TATA Nexon,75.0,Station_494,"Raghuleela Mega Mall, Kandivali West, Mumbai",64.41904929,2.62,24.62165118,Evening,Friday,49.17384524,62.34186035,230.4942718,25.3204757,Level 1,Long-Distance Traveler,Tata Power - Kandivali West,Tata Power,tata power kandivali west,Tata Power - Kandivali West,"Raghuleela Mega Mall, Kandivali West, Mumbai",Tata Power,"AC 22kW, DC 50kW","App, RFID, UPI",Mall Parking,19.2053,72.8444,Mumbai,Maharashtra
Hyundai Kona,50.0,Station_127,"Dahisar Check Naka Parking, Mumbai",35.55367093,0.78,45.8556972,Night,Tuesday,85.49045253,74.66057198,275.5742741,26.1334068,Level 1,Commuter,VoltaPoint - Dahisar,VoltaPoint,voltapoint dahisar,VoltaPoint - Dahisar,"Dahisar Check Naka Parking, Mumbai",VoltaPoint,"AC 11kW, DC 30kW",App,Public Parking,19.2567,72.8572,Mumbai,Maharashtra
Hyundai Kona,100.0,Station_114,"Unit 20-22, Laxmi Woollen Mill, Opposite Blue Loft, Dr E Moses Marg, Off, Shakti Mills Ln, Mahalakshmi, Mumbai",36.61656862,1.34,27.32114694,Afternoon,Sunday,66.55511783,56.23715391,69.23387008,24.52303877,Level 2,Long-Distance Traveler,Blue Tokai Coffee,,blue tokai coffee,Blue Tokai Coffee,"Unit 20-22, Laxmi Woollen Mill, Opposite Blue Loft, Dr E Moses Marg, Off, Shakti Mills Ln, Mahalakshmi, Mumbai",,,,,18.989356,72.825234,Mumbai,Maharashtra
TATA Tiago,50.0,Station_199,"Kamothe Bus Depot, Navi Mumbai",65.48719596,1.74,37.57728956,Evening,Thursday,42.83535123,83.70937054,102.2390727,17.52272767,DC Fast Charger,Long-Distance Traveler,Magenta ChargeGrid - Kamothe,Magenta,magenta chargegrid kamothe,Magenta ChargeGrid - Kamothe,"Kamothe Bus Depot, Navi Mumbai",Magenta,AC 7.4kW,App,Bus Depot Parking,19.016,73.0949,Mumbai,Maharashtra
Hyundai Kona,85.0,Station_13,"4/5, Enterprise Apartment, Forjet Hill Rd, Tardeo, Mumbai",33.88719708,1.82,18.6042609,Night,Monday,40.14074747,63.34760038,267.8436816,-4.160747933,DC Fast Charger,Long-Distance Traveler,Tata Power - Kapasi CHSL,Tata Power,tata power kapasi chsl,Tata Power - Kapasi CHSL,"4/5, Enterprise Apartment, Forjet Hill Rd, Tardeo, Mumbai",Tata Power,"AC 3.3kW, AC 22kW, DC 60kW","App, RFID, UPI","Smart App Charging, Parking",18.965,72.8098,Mumbai,Maharashtra
TATA Curvv,85.0,Station_444,"Cotton Green Railyard, Mumbai",30.0651389,0.84,35.87112113,Night,Friday,13.94832346,93.59847436,122.7647597,33.0181713,DC Fast Charger,Long-Distance Traveler,Tata Power - Cotton Green,Tata Power,tata power cotton green,Tata Power - Cotton Green,"Cotton Green Railyard, Mumbai",Tata Power,AC 11kW,App,Station Parking,18.991,72.8485,Mumbai,Maharashtra
TATA Nexon,100.0,Station_474,"Khar Danda Road, Mumbai",47.37743937,0.98,48.16033463,Morning,Monday,23.63676232,68.05817011,136.959135,8.511630397,DC Fast Charger,Casual Driver,Tata Power - Khar West,Tata Power,tata power khar west,Tata Power - Khar West,"Khar Danda Road, Mumbai",Tata Power,AC 11kW,App,Public Parking,19.0756,72.8322,Mumbai,Maharashtra
TATA Tiago,50.0,Station_74,"Kandivali East, Next to Railway Station, Mumbai",78.69341922,2.15,36.56255637,Evening,Tuesday,38.19062073,82.43448923,17.2415972,12.73792455,Level 1,Long-Distance Traveler,EVteQ - Kandivali,EVteQ,evteq kandivali,EVteQ - Kandivali,"Kandivali East, Next to Railway Station, Mumbai",EVteQ,"AC 7.4kW, DC 15kW","App, Card, UPI",Parking,19.2104,72.8572,Mumbai,Maharashtra
TATA Tiago,85.0,Station_101,"Juhu Tara Rd, Near Juhu Beach, Mumbai",40.2483826,1.19,33.73226426,Night,Tuesday,45.0273134,77.80287971,28.45468193,38.96813601,DC Fast Charger,Commuter,ChargeAndDrive - Juhu,Fortum,chargeanddrive juhu,ChargeAndDrive - Juhu,"Juhu Tara Rd, Near Juhu Beach, Mumbai",Fortum,"AC 22kW, DC 60kW","App, Card, RFID","Parking, RFID",19.0977,72.8271,Mumbai,Maharashtra
MG Comet,50.0,Station_366,"On Western Express Highway, adjacent to Hub Mall, Cama Industrial Estate, Goregaon, Mumbai, Maharashtra ,Goregaon",56.06879095,1.99,28.16853365,Afternoon,Monday,75.63146824,55.82273779,219.4318971,7.109435812,DC Fast Charger,Long-Distance Traveler,Lodha Florenza,,lodha florenza,Lodha Florenza,"On Western Express Highway, adjacent to Hub Mall, Cama Industrial Estate, Goregaon, Mumbai, Maharashtra ,Goregaon",,,,,19.15381142,72.85579572,Mumbai,Maharashtra
TATA Nexon,62.0,Station_120,"Plot No DX 12,Thane - Belapur Road D' Zone Bonsari, Village, TTC Industrial Area, Turbhe, Navi Mumbai, Maharashtra ,Thane",65.04979561,2.88,22.55945181,Night,Saturday,83.58728192,80.04211898,188.0781767,25.34429385,DC Fast Charger,Casual Driver,Hotel Yogi Midtown,,hotel yogi midtown,Hotel Yogi Midtown,"Plot No DX 12,Thane - Belapur Road D' Zone Bonsari, Village, TTC Industrial Area, Turbhe, Navi Mumbai, Maharashtra ,Thane",,,,,19.0640261,73.01971543,Mumbai,Maharashtra
Hyundai Kona,50.87061708,Station_145,"Apollo Bunder Road, Colaba, Mumbai",23.57128154,0.47,49.78371903,Night,Friday,51.07152573,79.00243297,267.3473926,-3.089617682,DC Fast Charger,Casual Driver,Tata Power - Gateway of India,Tata Power,tata power gateway of india,Tata Power - Gateway of India,"Apollo Bunder Road, Colaba, Mumbai",Tata Power,AC 11kW,"App, RFID",Tourist Parking,18.9218,72.8347,Mumbai,Maharashtra
Hyundai Kona,85.0,Station_352,"GUT NO.151/2, VILLAGE - AJIVALI, TALUKA - PANVEL, RAIGAD, AJIVALI, 410216",45.57396766,4.11,11.089827,Evening,Monday,45.7060602,87.23241205,217.5899277,-9.090468359,Level 2,Commuter,"Trimurti Petroleum, Panvel",,trimurti petroleum panvel,"Trimurti Petroleum, Panvel","GUT NO.151/2, VILLAGE - AJIVALI, TALUKA - PANVEL, RAIGAD, AJIVALI, 410216",,,,,18.9563188,73.1626506,Mumbai,Maharashtra
TATA Tiago,75.0,Station_137,"Ulhasnagar Station, Mumbai Region",54.6408791,2.77,19.70948849,Morning,Monday,27.0170636,85.53675893,130.551963,12.62950128,Level 1,Commuter,Statiq - Ulhasnagar,Statiq,statiq ulhasnagar,Statiq - Ulhasnagar,"Ulhasnagar Station, Mumbai Region",Statiq,"AC 11kW, DC 60kW","App, Card",Parking,19.2336,73.1353,Mumbai,Maharashtra
TATA Tiago,85.0,Station_273,"Santacruz West, Next to Railway Station, Mumbai",56.01783154,1.48,37.85307848,Evening,Monday,18.03729692,61.93129744,14.72364927,11.49275618,Level 1,Long-Distance Traveler,ATUM Charge - Santacruz,ATUM,atum charge santacruz,ATUM Charge - Santacruz,"Santacruz West, Next to Railway Station, Mumbai",ATUM,"AC 7.4kW, DC 25kW","App, Card",Parking,19.0815,72.8367,Mumbai,Maharashtra
TATA Nexon,85.0,Station_117,"Kanjurmarg East Station, Mumbai",118.8974904,12.8,9.2864977,Night,Monday,27.64544589,90.29992273,103.9578251,18.40533315,Level 2,Casual Driver,Statiq - Kanjurmarg,Statiq,statiq kanjurmarg,Statiq - Kanjurmarg,"Kanjurmarg East Station, Mumbai",Statiq,"AC 11kW, DC 50kW","App, Card",Parking,19.1341,72.9297,Mumbai,Maharashtra
TATA Curvv,75.0,Station_368,"Near Ghatkopar Metro Station, Ghatkopar West, Mumbai",41.15701391,1.26,32.59959954,Night,Monday,68.79319057,75.66889916,62.41285143,27.90141336,DC Fast Charger,Casual Driver,Magenta ChargeGrid - Ghatkopar,Magenta,magenta chargegrid ghatkopar,Magenta ChargeGrid - Ghatkopar,"Near Ghatkopar Metro Station, Ghatkopar West, Mumbai",Magenta,"AC 7.4kW, DC 15kW","App, Card",Parking,19.0864,72.9085,Mumbai,Maharashtra
TATA Tiago,50.0,Station_168,"Seven Hills Hospital, Andheri East, SevenHills Health City, Marol Maroshi Road, Andheri East, Mumbai, Maharashtra 400059",71.14274636,4.8,14.82991098,Afternoon,Saturday,73.16017409,75.75484663,150.2700221,17.42486706,DC Fast Charger,Long-Distance Traveler,Tata Power,,tata power,Tata Power Charging Station,"Anik Depot, Municipal Kamgar Vasahat, Trombay Industrial Area, Chembur, Mumbai",Tata Power,DC 25kW,"App, UPI","Parking, App Connect",19.0302,72.8927,Mumbai,Maharashtra
TATA Nexon,50.0,Station_183,"TECHNOLOGY ST,HIRANANADANI GARDENS,SAINATH NAGAR,POWAI,MUMBAI,MAHARASHTARA 400076",21.82050637,0.22,97.3422547,Afternoon,Sunday,78.27386156,76.89957103,240.7952118,10.33600034,Level 1,Long-Distance Traveler,MH|MUMBAI|POWAI#HIRANANDANI GARDENS,,mh mumbai powai hiranandani gardens,MH|MUMBAI|POWAI#HIRANANDANI GARDENS,"TECHNOLOGY ST,HIRANANADANI GARDENS,SAINATH NAGAR,POWAI,MUMBAI,MAHARASHTARA 400076",,,,,19.11999443,72.9141036,Mumbai,Maharashtra
TATA Nexon,62.0,Station_152,"NS Phadake Marg, Opp Teli galli,Near Eastern expres Highway, Andheri East Mumbai 400069u00c2u00a0",47.31460938,4.66,10.16337295,Afternoon,Sunday,40.48798797,98.82353364,260.6613918,23.72798354,Level 1,Casual Driver,"Hotel Suba Galaxy, Andheri East",,hotel suba galaxy andheri east,"Hotel Suba Galaxy, Andheri East","NS Phadake Marg, Opp Teli galli,Near Eastern expres Highway, Andheri East Mumbai 400069u00c2u00a0",,,,,19.1142415,72.8518766,Mumbai,Maharashtra
TATA Nexon,50.0,Station_496,"Taloja Panchanand Station, Navi Mumbai",63.62653233,6.37,9.986771923,Afternoon,Sunday,41.00608003,71.25331651,136.959135,5.098606887,Level 1,Commuter,Tata Power - Taloja Station,Tata Power,tata power taloja,Tata Power - Taloja Station,"Taloja Panchanand Station, Navi Mumbai",Tata Power,AC 11kW,App,Station Parking,19.0494,73.1166,Mumbai,Maharashtra
MG Comet,50.0,Station_212,"GUT NO.151/2, VILLAGE - AJIVALI, TALUKA - PANVEL, RAIGAD, AJIVALI, 410216",8.349591228,0.18,47.48218949,Morning,Sunday,43.32205191,62.97068755,311.6304081,3.04969077,Level 1,Long-Distance Traveler,"Trimurti Petroleum, Panvel",,trimurti petroleum panvel,"Trimurti Petroleum, Panvel","GUT NO.151/2, VILLAGE - AJIVALI, TALUKA - PANVEL, RAIGAD, AJIVALI, 410216",,,,,18.9563188,73.1626506,Mumbai,Maharashtra
TATA Tiago,62.0,Station_132,"Bhayandar West Station Parking, Mumbai",13.48519533,0.45,29.87310551,Night,Monday,82.88645336,52.6525883,136.959135,-5.680662911,DC Fast Charger,Commuter,Magenta ChargeGrid - Bhayandar,Magenta,magenta chargegrid bhayandar,Magenta ChargeGrid - Bhayandar,"Bhayandar West Station Parking, Mumbai",Magenta,AC 7.4kW,App,Public Parking,19.3134,72.8476,Mumbai,Maharashtra
Hyundai Kona,85.0,Station_108,"Seawoods Station, Navi Mumbai",70.99471727,5.65,12.56141232,Morning,Friday,72.89524753,68.05110318,189.3786646,4.756515892,Level 1,Long-Distance Traveler,Statiq - Navi Mumbai,Statiq,statiq navi mumbai,Statiq - Navi Mumbai,"Seawoods Station, Navi Mumbai",Statiq,"AC 11kW, DC 50kW","App, Card, UPI",Parking,19.0387,73.0222,Mumbai,Maharashtra
TATA Tiago,89.03206383,Station_205,"Chembur Station East, Mumbai",78.64289917,2.26,34.823951,Afternoon,Wednesday,74.34868091,50.72443431,136.959135,21.9585411,Level 2,Commuter,ChargeZone - Chembur,ChargeZone,chargezone chembur,ChargeZone - Chembur,"Chembur Station East, Mumbai",ChargeZone,"AC 22kW, DC 50kW","App, Card, UPI","Parking, Mall Access",19.0549,72.9038,Mumbai,Maharashtra
MG Comet,85.0,Station_155,"Borosil Plot,off, Makwana Rd, Marol, Andheri East, Mumbai, Maharashtra",75.18617181,1.41,53.1747828,Evening,Tuesday,17.16005127,64.31018702,150.0470024,24.92336832,Level 1,Casual Driver,Vasant oasis,,vasant oasis,Vasant oasis,"Borosil Plot,off, Makwana Rd, Marol, Andheri East, Mumbai, Maharashtra",,,,,19.1146146,72.8840941,Mumbai,Maharashtra
TATA Tiago,75.0,Station_436,"Near Asian Heart Hospital, Opp Bharat Diamond Bourse, Bandra East, Mumbai, MH 400051",15.27366667,2.84,5.37038419,Night,Friday,86.95322411,85.13643915,113.6685009,6.864161791,DC Fast Charger,Long-Distance Traveler,Tata Power - BKC Substation,Tata Power,tata power bkc substation,Tata Power - BKC Substation,"Near Asian Heart Hospital, Opp Bharat Diamond Bourse, Bandra East, Mumbai, MH 400051",Tata Power,"AC 3.3kW, DC 25kW","App, RFID, UPI","Parking, App Connect",19.0585,72.8557,Mumbai,Maharashtra
TATA Nexon,50.0,Station_338,"Near to Orion Mall/ New Panvel Bridge, Old, Mumbai - Pune Expy,",44.15948701,1.86,23.75243532,Morning,Thursday,81.45214551,89.2935832,33.56494023,-5.332773776,Level 1,Long-Distance Traveler,HOTEL REDWINGS CASTLE,,hotel redwings castle,HOTEL REDWINGS CASTLE,"Near to Orion Mall/ New Panvel Bridge, Old, Mumbai - Pune Expy,",,,,,18.99453515,73.11513242,Mumbai,Maharashtra
TATA Curvv,50.0,Station_181,"Teli - Gali Road, Andheri (East), Mumbai - 400069",20.46478094,1.1,18.59949061,Morning,Wednesday,18.13415171,56.11481332,62.92995606,25.42808821,Level 1,Casual Driver,"Ginger Mumbai, Andheri East",,ginger mumbai andheri east,"Ginger Mumbai, Andheri East","Teli - Gali Road, Andheri (East), Mumbai - 400069",,,,,19.11599,72.85018,Mumbai,Maharashtra
